Matrix,Topology,Time taken
2400x100x100,4x2x3,0.159747
2400x100x100,6x2x2,0.159879
2400x100x100,6x4x1,0.159706
2400x100x100,8x3x1,0.16013
2400x100x100,12x2x1,0.159794
2400x100x100,24x1x1,0.159877
1200x200x100,4x2x3,0.147583
1200x200x100,6x2x2,0.147677
1200x200x100,6x4x1,0.147358
1200x200x100,8x3x1,0.147255
1200x200x100,12x2x1,0.147082
1200x200x100,24x1x1,0.146884
800x300x100,4x2x3,0.144351
800x300x100,6x2x2,0.144384
800x300x100,6x4x1,0.14383
800x300x100,8x3x1,0.144158
800x300x100,12x2x1,0.1438
800x300x100,24x1x1,0.143644
