n_procs,time_nonblocking,time_blocking
2,0.000001,0.000002
3,0.000004,0.000008
4,0.000005,0.000009
5,0.000007,0.000011
6,0.000008,0.000013
7,0.000009,0.000016
8,0.000009,0.000017
9,0.000011,0.000020
10,0.000012,0.000022
11,0.000014,0.000024
12,0.000015,0.000026
13,0.000016,0.000029
14,0.000017,0.000031
15,0.000018,0.000033
16,0.000018,0.000034
17,0.000020,0.000037
18,0.000021,0.000038
19,0.000022,0.000041
20,0.000023,0.000043
21,0.000024,0.000045
22,0.000025,0.000047
23,0.000027,0.000050
24,0.000028,0.000052
25,0.000035,0.000081
26,0.000039,0.000085
27,0.000039,0.000086
28,0.000041,0.000090
29,0.000042,0.000093
30,0.000043,0.000096
31,0.000044,0.000099
32,0.000049,0.000102
33,0.000048,0.000106
34,0.000050,0.000109
35,0.000053,0.000112
36,0.000052,0.000115
37,0.000052,0.000118
38,0.000056,0.000122
39,0.000055,0.000125
40,0.000059,0.000129
41,0.000057,0.000131
42,0.000061,0.000134
43,0.000059,0.000137
44,0.000064,0.000140
45,0.000062,0.000144
46,0.000067,0.000146
47,0.000069,0.000150
48,0.000070,0.000156
