#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.16,0.00
1,1000,5.23,0.19
2,1000,5.23,0.38
4,1000,5.23,0.77
8,1000,5.21,1.54
16,1000,5.22,3.07
32,1000,5.22,6.13
64,1000,5.23,12.23
128,1000,5.27,24.29
256,1000,5.31,48.19
512,1000,5.35,95.71
1024,1000,5.95,172.16
2048,1000,5.83,351.00
4096,1000,6.71,610.24
8192,1000,7.18,1141.21
16384,1000,9.33,1756.79
32768,1000,15.03,2179.99
65536,640,29.24,2241.65
131072,320,43.44,3017.44
262144,160,61.52,4261.08
524288,80,94.47,5549.92
1048576,40,160.95,6514.86
2097152,20,304.84,6879.55
4194304,10,580.03,7231.15
8388608,5,1503.87,5578.01
16777216,2,3160.06,5309.15
33554432,1,6364.96,5271.74
67108864,1,12684.93,5290.44
134217728,1,25255.06,5314.49
268435456,1,50182.92,5349.14
