#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.95,0.00
1,1000,5.00,0.20
2,1000,4.99,0.40
4,1000,5.01,0.80
8,1000,5.00,1.60
16,1000,5.00,3.20
32,1000,5.01,6.38
64,1000,5.02,12.76
128,1000,5.05,25.34
256,1000,5.08,50.37
512,1000,5.13,99.81
1024,1000,5.82,175.95
2048,1000,5.57,367.72
4096,1000,6.45,635.13
8192,1000,6.88,1190.35
16384,1000,8.97,1826.04
32768,1000,14.39,2277.61
65536,640,29.94,2188.86
131072,320,44.21,2964.43
262144,160,61.49,4263.26
524288,80,97.47,5378.83
1048576,40,163.84,6399.95
2097152,20,320.76,6537.98
4194304,10,661.25,6343.03
8388608,5,1559.08,5380.49
16777216,2,3294.32,5092.77
33554432,1,6594.69,5088.10
67108864,1,13233.30,5071.21
134217728,1,26252.72,5112.53
268435456,1,52129.14,5149.43
