X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.2,0,0.6542,1264.2364
1,1000,0.2,5.08,0.6543,1264.3245
2,1000,0.19,10.65,0.6544,1264.4125
4,1000,0.19,20.99,0.6546,1264.5886
8,1000,0.19,42.6,0.655,1264.9409
16,1000,0.19,84.34,0.6557,1265.6454
32,1000,0.23,140.86,0.6572,1267.0544
64,1000,0.22,290.95,0.6602,1269.8722
128,1000,0.31,410.66,0.6662,1275.5069
256,1000,0.33,776.36,0.6782,1286.774
512,1000,0.39,1305.86,0.7021,1309.2985
1024,1000,0.5,2058.68,0.7499,1354.3057
2048,1000,0.74,2756.97,0.8454,1444.1509
4096,1000,1.12,3663.69,1.0357,1623.1807
8192,1000,1.86,4412.98,1.4143,1978.6024
16384,1000,2.95,5552.53,2.162,2678.8566
32768,1000,4.98,6582.04,3.6202,4036.9511
65536,640,8.5,7714.08,6.3928,6584.0167
131072,320,14.97,8756.95,11.3984,11005.9128
262144,160,15.25,17188.69,20.3815,18038.0929
524288,80,27.73,18909.63,36.6681,27101.8388
1048576,40,56.26,18639.33,66.4541,30083.6987
2097152,20,146.33,14331.83,146.325,14319.4996
4194304,10,300.78,13944.81,380.6683,179.8658
8388608,5,848.68,9884.33,913.715,-17552.7512
16777216,2,2258.19,7429.48,2188.5471,-21823.1169
33554432,1,5182.89,6474.07,5183.5498,6481.7556
67108864,1,10362.37,6476.21,11081.7955,10332.684
134217728,1,20859.51,6434.37,21757.2564,11615.1529
268435456,1,41615.92,6450.31,41616.173,6452.7502
