X.bytes,X.repetitions,t.usec.,Mbytes.sec,Mbytes.sec.comp.,t.usec.comp.
0,1000,0.22,0,1203.9456,0.2686
1,1000,0.21,4.67,1204.0396,0.2688
2,1000,0.21,9.35,1204.1337,0.269
4,1000,0.22,17.91,1204.3218,0.2694
8,1000,0.21,37.25,1204.698,0.2702
16,1000,0.21,74.56,1205.4503,0.2719
32,1000,0.25,129.6,1206.9551,0.2752
64,1000,0.25,260.4,1209.9643,0.2819
128,1000,0.36,351.76,1215.982,0.2951
256,1000,0.37,696.57,1228.0147,0.3216
512,1000,0.45,1134.42,1252.0689,0.3743
1024,1000,0.56,1814.91,1300.1319,0.4789
2048,1000,0.77,2647.34,1396.0743,0.6845
4096,1000,1.14,3581.98,1587.2312,1.0813
8192,1000,1.9,4310.16,1966.6477,1.819
16384,1000,2.95,5552.48,2713.8755,3.1003
32768,1000,4.73,6921.67,4161.8241,5.0809
65536,640,8.07,8118.9,6872.0729,8.0693
131072,320,14.62,8962.31,11553.0175,13.1612
262144,160,14.44,18153,18905.092,18.4519
524288,80,27.48,19081.27,28056.6166,27.4481
1048576,40,63.18,16596.18,29848.9015,66.2707
2097152,20,161.25,13005.49,12988.2808,155.5044
4194304,10,354.77,11822.64,5155.4266,354.8254
