X.bytes,X.repetitions,t.usec.,Mbytes.sec,Mbytes.sec.comp.,t.usec.comp.
0,1000,0.25,0,1332.3549,0.3736
1,1000,0.28,3.61,1332.4628,0.3738
2,1000,0.28,7.18,1332.5707,0.374
4,1000,0.28,14.44,1332.7865,0.3745
8,1000,0.27,29.17,1333.2182,0.3754
16,1000,0.3,53.45,1334.0817,0.3772
32,1000,0.3,105.87,1335.8095,0.3808
64,1000,0.35,184.38,1339.2643,0.388
128,1000,0.42,306.52,1346.1687,0.4024
256,1000,0.48,534.63,1359.9777,0.4311
512,1000,0.63,816.33,1387.5896,0.4881
1024,1000,0.74,1376.2,1442.7369,0.6004
2048,1000,0.79,2585.4,1552.7031,0.8186
4096,1000,1.8,2278.79,1771.6109,1.2294
8192,1000,2.04,4012.11,2205.1164,1.9519
16384,1000,2.67,6142.99,3054.2141,3.0632
32768,1000,3.65,8983.16,4681.4365,4.3192
65536,640,5.46,12005.31,7657.3009,5.4595
131072,320,9.62,13627.05,12537.1956,9.0971
262144,160,18.96,13826.1,19811.9863,18.0038
524288,80,38.85,13493.91,28419.5371,38.8516
1048576,40,89.12,11765.46,28256.4568,85.4874
2097152,20,219.82,9540.43,9537.0908,199.6688
4194304,10,433.21,9681.98,6367.1701,433.2908
