X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.26,0,0.3586,301.7835
1,1000,0.28,3.54,0.3588,302.322
2,1000,0.28,7.08,0.359,302.8604
4,1000,0.28,14.32,0.3595,303.9373
8,1000,0.29,27.26,0.3603,306.0914
16,1000,0.29,54.75,0.362,310.3987
32,1000,0.29,109.97,0.3654,319.0082
64,1000,0.34,190.58,0.3722,336.2182
128,1000,0.36,353.1,0.3857,370.5861
256,1000,0.43,594.44,0.4127,439.1
512,1000,0.59,874.36,0.4663,575.3171
1024,1000,0.66,1545.92,0.5721,844.5012
2048,1000,0.81,2537.76,0.7776,1369.6505
4096,1000,1.67,2451.49,1.1647,2367.2596
8192,1000,1.96,4180.98,1.8473,4157.0492
16384,1000,2.52,6490.5,2.9063,7012.1871
32768,1000,3.51,9343.51,4.151,10403.036
65536,640,5.54,11832.27,5.5396,11830.1134
131072,320,9.44,13884.65,9.5638,12235.3599
262144,160,17.14,15294.57,17.7653,13719.1979
524288,80,37.25,14074.42,37.2474,14069.564
1048576,40,99.49,10539.84,89.6999,7137.4538
2097152,20,243.19,8623.52,228.6892,2420.0566
4194304,10,593.59,7066,593.6027,7072.0693
