X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,4.95,0,5.2834,0
1,1000,5,0.2,5.2837,0.1893
2,1000,4.99,0.4,5.284,0.3785
4,1000,5.01,0.8,5.2846,0.7569
8,1000,5,1.6,5.2858,1.5135
16,1000,5,3.2,5.2882,3.0256
32,1000,5.01,6.38,5.293,6.0458
64,1000,5.02,12.76,5.3025,12.0697
128,1000,5.05,25.34,5.3216,24.0529
256,1000,5.08,50.37,5.3598,47.7631
512,1000,5.13,99.81,5.4361,94.1844
1024,1000,5.82,175.95,5.5888,183.2252
2048,1000,5.57,367.72,5.8935,347.5013
4096,1000,6.45,635.13,6.5015,630.0044
8192,1000,6.88,1190.35,7.7115,1062.3152
16384,1000,8.97,1826.04,10.1059,1621.2389
32768,1000,14.39,2277.61,14.7938,2214.9755
65536,640,29.94,2188.86,23.7727,2756.7749
131072,320,44.21,2964.43,40.1904,3261.2748
262144,160,61.49,4263.26,69.3027,3782.593
524288,80,97.47,5378.83,118.3544,4429.8153
1048576,40,163.84,6399.95,190.7602,5496.8288
2097152,20,320.76,6537.98,320.7367,6538.5462
4194304,10,661.25,6343.03,672.6186,6235.7836
8388608,5,1559.08,5380.49,1435.779,5842.5482
16777216,2,3294.32,5092.77,3127.4817,5364.4489
33554432,1,6594.69,5088.1,6594.7759,5088.0322
67108864,1,13233.3,5071.21,13021.3769,5153.7456
134217728,1,26252.72,5112.53,26046.3521,5153.0336
268435456,1,52129.14,5149.43,52128.6985,5149.4755
