X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.2,0,0.6542,0
1,1000,0.2,5.08,0.6543,1.5283
2,1000,0.19,10.65,0.6544,3.0561
4,1000,0.19,20.99,0.6546,6.1105
8,1000,0.19,42.6,0.655,12.2141
16,1000,0.19,84.34,0.6557,24.4003
32,1000,0.23,140.86,0.6572,48.6895
64,1000,0.22,290.95,0.6602,96.9377
128,1000,0.31,410.66,0.6662,192.1347
256,1000,0.33,776.36,0.6782,377.4901
512,1000,0.39,1305.86,0.7021,729.2485
1024,1000,0.5,2058.68,0.7499,1365.4997
2048,1000,0.74,2756.97,0.8454,2422.6622
4096,1000,1.12,3663.69,1.0357,3954.6827
8192,1000,1.86,4412.98,1.4143,5792.3103
16384,1000,2.95,5552.53,2.162,7578.3351
32768,1000,4.98,6582.04,3.6202,9051.4796
65536,640,8.5,7714.08,6.3928,10251.6062
131072,320,14.97,8756.95,11.3984,11499.1504
262144,160,15.25,17188.69,20.3815,12861.8766
524288,80,27.73,18909.63,36.6681,14298.2124
1048576,40,56.26,18639.33,66.4541,15778.9453
2097152,20,146.33,14331.83,146.325,14332.1474
4194304,10,300.78,13944.81,380.6683,11018.2637
8388608,5,848.68,9884.33,913.715,9180.7704
16777216,2,2258.19,7429.48,2188.5471,7665.915
33554432,1,5182.89,6474.07,5183.5498,6473.2536
67108864,1,10362.37,6476.21,11081.7955,6055.7753
134217728,1,20859.51,6434.37,21757.2564,6168.8719
268435456,1,41615.92,6450.31,41616.173,6450.2677
