X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.22,0,0.2686,0
1,1000,0.21,4.67,0.2688,3.7204
2,1000,0.21,9.35,0.269,7.435
4,1000,0.22,17.91,0.2694,14.8472
8,1000,0.21,37.25,0.2702,29.603
16,1000,0.21,74.56,0.2719,58.8443
32,1000,0.25,129.6,0.2752,116.2683
64,1000,0.25,260.4,0.2819,227.0583
128,1000,0.36,351.76,0.2951,433.7036
256,1000,0.37,696.57,0.3216,796.0063
512,1000,0.45,1134.42,0.3743,1367.7698
1024,1000,0.56,1814.91,0.4789,2138.2242
2048,1000,0.77,2647.34,0.6845,2992.1705
4096,1000,1.14,3581.98,1.0813,3788.1827
8192,1000,1.9,4310.16,1.819,4503.5619
16384,1000,2.95,5552.48,3.1003,5284.611
32768,1000,4.73,6921.67,5.0809,6449.2481
65536,640,8.07,8118.9,8.0693,8121.6796
131072,320,14.62,8962.31,13.1612,9958.9332
262144,160,14.44,18153,18.4519,14206.8454
524288,80,27.48,19081.27,27.4481,19101.0931
1048576,40,63.18,16596.18,66.2707,15822.6084
2097152,20,161.25,13005.49,155.5044,13486.1269
4194304,10,354.77,11822.64,354.8254,11820.7532
8388608,5,959.49,8742.78,984.0772,8524.3393
16777216,2,2497.74,6716.97,2380.0436,7049.1213
33554432,1,5620.58,5969.92,5621.2893,5969.1701
67108864,1,11369.17,5902.71,11860.1008,5658.3721
134217728,1,22533.42,5956.38,23211.3246,5782.4243
268435456,1,43718.91,6140.03,43718.7709,6140.0504
