X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.25,0,0.3736,0
1,1000,0.28,3.61,0.3738,2.6751
2,1000,0.28,7.18,0.374,5.347
4,1000,0.28,14.44,0.3745,10.6811
8,1000,0.27,29.17,0.3754,21.3109
16,1000,0.3,53.45,0.3772,42.4178
32,1000,0.3,105.87,0.3808,84.0321
64,1000,0.35,184.38,0.388,164.9411
128,1000,0.42,306.52,0.4024,318.0815
256,1000,0.48,534.63,0.4311,593.8426
512,1000,0.63,816.33,0.4881,1049.061
1024,1000,0.74,1376.2,0.6004,1705.5086
2048,1000,0.79,2585.4,0.8186,2501.7024
4096,1000,1.8,2278.79,1.2294,3331.6803
8192,1000,2.04,4012.11,1.9519,4197.0274
16384,1000,2.67,6142.99,3.0632,5348.6276
32768,1000,3.65,8983.16,4.3192,7586.5988
65536,640,5.46,12005.31,5.4595,12004.0792
131072,320,9.62,13627.05,9.0971,14408.0703
262144,160,18.96,13826.1,18.0038,14560.4601
524288,80,38.85,13493.91,38.8516,13494.6399
1048576,40,89.12,11765.46,85.4874,12265.8542
2097152,20,219.82,9540.43,199.6688,10503.1527
4194304,10,433.21,9681.98,433.2908,9680.1137
