X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.26,0,0.3586,0
1,1000,0.28,3.54,0.3588,2.7869
2,1000,0.28,7.08,0.359,5.5706
4,1000,0.28,14.32,0.3595,11.1279
8,1000,0.29,27.26,0.3603,22.2034
16,1000,0.29,54.75,0.362,44.1986
32,1000,0.29,109.97,0.3654,87.5762
64,1000,0.34,190.58,0.3722,171.9597
128,1000,0.36,353.1,0.3857,331.8432
256,1000,0.43,594.44,0.4127,620.2941
512,1000,0.59,874.36,0.4663,1097.978
1024,1000,0.66,1545.92,0.5721,1790.0259
2048,1000,0.81,2537.76,0.7776,2633.9044
4096,1000,1.67,2451.49,1.1647,3516.7546
8192,1000,1.96,4180.98,1.8473,4434.4943
16384,1000,2.52,6490.5,2.9063,5637.487
32768,1000,3.51,9343.51,4.151,7894.0341
65536,640,5.54,11832.27,5.5396,11830.4587
131072,320,9.44,13884.65,9.5638,13704.9744
262144,160,17.14,15294.57,17.7653,14755.9942
524288,80,37.25,14074.42,37.2474,14075.8468
1048576,40,99.49,10539.84,89.6999,11689.8238
2097152,20,243.19,8623.52,228.6892,9170.3147
4194304,10,593.59,7066,593.6027,7065.8444
8388608,5,1738.01,4826.56,1486.2365,5644.1947
16777216,2,4225.66,3970.32,3781.8015,4436.3027
33554432,1,8849.58,3791.64,8850.3666,3791.3042
67108864,1,17301.25,3878.85,17644.5277,3803.3812
134217728,1,34017.96,3945.5,34459.5061,3894.9406
268435456,1,66445.45,4039.94,66445.2718,4039.9482
