X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.27,0,0.314,0
1,1000,0.27,3.64,0.3142,3.1827
2,1000,0.27,7.28,0.3144,6.3622
4,1000,0.28,14.37,0.3147,12.7115
8,1000,0.28,28.93,0.3153,25.3713
16,1000,0.28,56.94,0.3166,50.5372
32,1000,0.29,112.28,0.3192,100.2627
64,1000,0.3,216.93,0.3243,197.3574
128,1000,0.3,427.83,0.3345,382.6381
256,1000,0.33,786.82,0.3549,721.2437
512,1000,0.54,946.82,0.3956,1294.2114
1024,1000,0.6,1708.44,0.4762,2150.279
2048,1000,0.74,2769.91,0.6345,3227.6037
4096,1000,0.97,4232.93,0.9395,4359.646
8192,1000,1.49,5491.79,1.5037,5447.9084
16384,1000,2.4,6819.79,2.47,6633.0921
32768,1000,3.63,9035.4,3.9092,8382.2485
65536,640,5.9,11105.59,5.8989,11109.8305
131072,320,8.86,14795.9,9.846,13312.2512
262144,160,16.18,16201.96,17.8461,14689.1316
524288,80,40.19,13045.62,40.1871,13046.1858
1048576,40,83.49,12558.89,95.9725,10925.802
2097152,20,168.75,12427.6,191.6912,10940.2637
4194304,10,402.09,10431.34,402.0599,10432.0369
8388608,5,1034.86,8106.04,829.4439,10113.5333
16777216,2,2279.66,7359.51,2163.3151,7755.3271
33554432,1,6104.64,5496.54,6104.0165,5497.1071
67108864,1,12524.62,5358.16,14679.1993,4571.6978
134217728,1,25822.8,5197.65,28609.9861,4691.2895
268435456,1,53014.71,5063.41,53015.3937,5063.3493
