# mpirun -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -env I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,4.74,0,4.97,0
1,1000,4.78,0.21,4.9706,0.2012
2,1000,4.92,0.41,4.9712,0.4023
4,1000,4.74,0.84,4.9723,0.8045
8,1000,4.73,1.69,4.9746,1.6082
16,1000,4.73,3.38,4.9791,3.2134
32,1000,4.73,6.76,4.9882,6.4151
64,1000,4.77,13.42,5.0064,12.7837
128,1000,4.78,26.77,5.0427,25.3831
256,1000,4.79,53.41,5.1154,50.045
512,1000,6.42,79.73,5.2606,97.3274
1024,1000,6.54,156.57,5.5505,184.4883
2048,1000,6.8,301.24,6.1285,334.1789
4096,1000,7.71,531.56,7.2767,562.8889
8192,1000,7.99,1025.48,9.5382,858.8664
16384,1000,14.56,1125.32,13.9228,1176.7773
32768,1000,21.97,1491.25,22.3175,1468.2646
65536,640,38.94,1682.98,38.931,1683.3866
131072,320,73.1,1793.05,65.0373,2015.3369
262144,160,52.38,5004.87,79.9381,3279.3374
524288,80,82.7,6339.27,82.4959,6355.3251
1048576,40,141.45,7413.09,178.5797,5871.7536
2097152,20,264.99,7913.96,317.4237,6606.7913
4194304,10,563.85,7438.68,563.8517,7438.6656
