# mpirun -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 ./IMB-MPI1_intel PingPong -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.23,0,0.2477,0
1,1000,0.23,4.29,0.2479,4.0339
2,1000,0.23,8.55,0.2481,8.0627
4,1000,0.23,17.17,0.2484,16.105
8,1000,0.23,34.31,0.249,32.1283
16,1000,0.23,68.44,0.2503,63.9326
32,1000,0.24,132.23,0.2528,126.5888
64,1000,0.24,263.22,0.2578,248.2241
128,1000,0.26,492.58,0.2679,477.7734
256,1000,0.28,913.6,0.288,888.8255
512,1000,0.43,1189.12,0.3281,1560.6596
1024,1000,0.46,2227.75,0.4075,2513.1766
2048,1000,0.59,3470.97,0.5634,3635.104
4096,1000,0.85,4808.27,0.864,4740.9226
8192,1000,1.42,5758.01,1.42,5768.9313
16384,1000,2.34,7014.57,2.3696,6914.1703
32768,1000,3.5,9373.73,3.7697,8692.4525
65536,640,5.66,11576.4,5.6587,11581.4823
131072,320,8.59,15254.98,9.3511,14016.7652
262144,160,14.8,17706.92,16.9336,15480.7351
524288,80,40.96,12800.16,40.953,12802.1945
1048576,40,81.26,12903.72,102.4417,10235.8306
2097152,20,154.64,13561.87,195.9843,10700.6098
4194304,10,414.69,10114.36,414.6248,10115.9036
8388608,5,1138.92,7365.41,771.0173,10879.9221
16777216,2,2436.33,6886.26,2143.5349,7826.8918
33554432,1,5910.24,5677.33,5909.625,5677.9291
67108864,1,11764.5,5704.35,13353.88,5025.4206
134217728,1,23684.4,5666.93,25913.2438,5179.5032
268435456,1,49354.5,5438.93,49354.0104,5438.9796
