# mpirun -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 ./IMB-MPI1_intel PingPong -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.26,0,0.3067,0
1,1000,0.27,3.75,0.3069,3.2583
2,1000,0.27,7.44,0.3071,6.5133
4,1000,0.27,14.81,0.3074,13.0129
8,1000,0.27,29.68,0.308,25.9716
16,1000,0.27,59.47,0.3093,51.7276
32,1000,0.28,114.28,0.3119,102.6038
64,1000,0.28,227.36,0.317,201.8859
128,1000,0.29,440.09,0.3273,391.1236
256,1000,0.31,832.73,0.3477,736.2295
512,1000,0.57,903.15,0.3884,1318.0655
1024,1000,0.59,1721.11,0.4692,2182.5
2048,1000,0.73,2813.96,0.6277,3262.4629
4096,1000,0.95,4296.68,0.9332,4389.1023
8192,1000,1.5,5451.84,1.4983,5467.5931
16384,1000,2.39,6857.17,2.466,6643.833
32768,1000,3.63,9015.61,3.9035,8394.4106
65536,640,5.85,11198.26,5.849,11204.6254
131072,320,9.59,13670.32,9.8496,13307.3539
262144,160,18.63,14071.66,18.6253,14074.5972
524288,80,38.96,13456.87,38.9614,13456.5943
1048576,40,90.54,11581.4,84.9187,12347.9966
2097152,20,189.57,11062.46,188.5739,11121.1154
4194304,10,444.33,9439.55,444.2997,9440.2594
8388608,5,1001.75,8373.99,882.1362,9509.4245
16777216,2,2123.05,7902.4,2142.8227,7829.4933
33554432,1,6055.83,5540.85,6055.0172,5541.5915
67108864,1,12447.92,5391.17,15106.7685,4442.3044
134217728,1,25781.78,5205.91,29173.193,4600.7212
268435456,1,52592.97,5104.02,52594.0942,5103.9087
