# mpirun -n 2 -ppn 1 -env I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1_intel PingPong -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,9.02,0,8.9959,0
1,1000,8.45,0.12,8.9972,0.1111
2,1000,9.39,0.21,8.9985,0.2223
4,1000,8.68,0.46,9.0011,0.4444
8,1000,8.5,0.94,9.0064,0.8883
16,1000,8.46,1.89,9.0168,1.7745
32,1000,8.42,3.8,9.0377,3.5407
64,1000,8.43,7.59,9.0795,7.0488
128,1000,8.54,14.99,9.163,13.9692
256,1000,8.65,29.59,9.3297,27.4393
512,1000,11.02,46.47,9.6619,52.9918
1024,1000,11.49,89.14,10.3215,99.2101
2048,1000,13.96,146.68,11.6221,176.2159
4096,1000,14.95,274.05,14.148,289.5104
8192,1000,16.9,484.84,18.8978,433.4892
16384,1000,27.61,593.33,27.3453,599.1517
32768,1000,38.93,841.73,41.3592,792.2788
65536,640,67.29,973.94,67.2715,974.2019
131072,320,122.57,1069.33,117.7938,1112.7243
262144,160,149.7,1751.17,175.3375,1495.0821
524288,80,227.76,2301.98,227.5901,2303.6503
1048576,40,370.13,2832.97,377.2465,2779.551
2097152,20,685.28,3060.28,688.472,3046.0964
4194304,10,1364.37,3074.16,1364.397,3074.1082
8388608,5,2838.28,2955.53,2780.5825,3016.8528
16777216,2,5992.59,2799.66,5814.7382,2885.2917
33554432,1,11980.27,2800.81,11980.8863,2800.6636
67108864,1,23856.53,2813.02,23687.8229,2833.0533
134217728,1,47323.09,2836.2,47157.8686,2846.1364
268435456,1,93788.87,2862.12,93788.4576,2862.1374
