X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,9.02,0,10.3405,0
1,1000,8.94,0.11,10.3414,0.0967
2,1000,8.66,0.23,10.3422,0.1934
4,1000,8.69,0.46,10.3439,0.3867
8,1000,8.86,0.9,10.3474,0.7731
16,1000,8.54,1.87,10.3542,1.5453
32,1000,8.6,3.72,10.3679,3.0864
64,1000,8.68,7.37,10.3953,6.1566
128,1000,8.75,14.63,10.4501,12.2486
256,1000,8.73,29.32,10.5598,24.243
512,1000,11.06,46.28,10.779,47.5
1024,1000,11.7,87.52,11.217,91.2898
2048,1000,13.94,146.93,12.0919,169.3699
4096,1000,14.87,275.51,13.8372,296.0136
8192,1000,17.01,481.61,17.3097,473.2615
16384,1000,28.27,579.5,24.18,677.5855
32768,1000,39.58,827.81,37.6243,870.9263
65536,640,67.73,967.57,63.342,1034.6372
131072,320,123.66,1059.98,110.2068,1189.3282
262144,160,172.76,1517.41,193.0746,1357.7344
524288,80,267.8,1957.75,332.3242,1577.64
1048576,40,462.61,2266.66,531.9014,1971.373
2097152,20,831.53,2522.04,831.5422,2522.0031
4194304,10,1627.78,2576.71,1582.6178,2650.2317
8388608,5,3516.61,2385.42,3273.6385,2562.4723
16777216,2,7783.9,2155.38,7078.3422,2370.2183
33554432,1,13713.48,2446.82,13715.8786,2446.3932
67108864,1,27554.73,2435.48,23927.58,2804.6657
134217728,1,54901.24,2444.71,50372.5482,2664.5015
268435456,1,112133.25,2393.9,112131.1128,2393.9427
