X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,1.13,0,1.3225,0
1,1000,1.12,0.89,1.3229,0.7559
2,1000,1.13,1.77,1.3233,1.5114
4,1000,1.13,3.54,1.324,3.0212
8,1000,1.13,7.09,1.3255,6.0355
16,1000,1.13,14.17,1.3285,12.0441
32,1000,1.15,27.82,1.3344,23.9809
64,1000,1.34,47.78,1.3463,47.5387
128,1000,1.39,92.35,1.37,93.4302
256,1000,1.64,156.08,1.4174,180.6171
512,1000,1.72,298.42,1.5117,338.6909
1024,1000,1.9,539.62,1.6989,602.7481
2048,1000,2.49,821.87,2.067,990.7928
4096,1000,3.33,1229.11,2.7787,1474.0809
8192,1000,4.23,1935.99,4.1088,1993.7735
16384,1000,5.93,2763.19,6.4407,2543.8195
32768,1000,9.68,3383.72,9.9039,3308.6083
65536,640,12.59,5206.9,12.5929,5204.2201
131072,320,21.68,6046.01,14.5556,9004.93
262144,160,32.5,8065.14,25.6535,10218.6527
524288,80,54.55,9611.78,54.5372,9613.4065
1048576,40,97.14,10794.26,96.6198,10852.5954
2097152,20,185.53,11303.59,182.9578,11462.4891
4194304,10,354.18,11842.33,354.1886,11842.0073
8388608,5,695.45,12062.21,716.3125,11710.8211
16777216,2,1385.02,12113.38,1403.042,11957.7435
33554432,1,2757.58,12168.08,2757.598,12167.9928
67108864,1,5517.45,12163.03,5498.5082,12204.922
134217728,1,10982.92,12220.59,10986.0347,12217.1222
268435456,1,22014.22,12193.73,22014.0769,12193.8093
