X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,1.46,0,2.4665,0
1,1000,1.46,0.68,2.4666,0.4054
2,1000,1.45,1.38,2.4668,0.8108
4,1000,1.46,2.75,2.4671,1.6213
8,1000,1.45,5.51,2.4677,3.2418
16,1000,1.46,10.94,2.469,6.4804
32,1000,1.49,21.55,2.4715,12.9475
64,1000,1.73,36.91,2.4766,25.8423
128,1000,1.78,71.93,2.4866,51.4751
256,1000,2.08,123.23,2.5068,102.1221
512,1000,3.65,140.3,2.5471,201.0112
1024,1000,2.36,434.6,2.6277,389.6926
2048,1000,3.16,647.67,2.7887,734.3967
4096,1000,3.9,1049.43,3.11,1317.0534
8192,1000,5.06,1617.48,3.7498,2184.6501
16384,1000,6.79,2413.05,5.018,3265.0279
32768,1000,10.66,3073.98,7.5092,4363.7109
65536,640,13.98,4688.36,12.3138,5322.1767
131072,320,22.45,5837.79,21.2382,6171.5352
262144,160,33.68,7782.68,37.4257,7004.3836
524288,80,56.66,9253.16,65.6146,7990.4164
1048576,40,98.53,10641.68,109.7753,9552.0203
2097152,20,185.46,11308.06,185.4504,11308.4229
4194304,10,355.88,11785.85,360.8095,11624.7055
8388608,5,699.47,11992.76,708.667,11837.1649
16777216,2,1387.64,12090.46,1395.7044,12020.6086
33554432,1,2757.18,12169.82,2757.1864,12169.8088
67108864,1,5504.27,12192.14,5491.8781,12219.6566
134217728,1,10984.59,12218.73,10979.8018,12224.0575
268435456,1,22021.46,12189.72,22021.3987,12189.755
