# mpirun -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -env I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp  ./IMB-MPI1_intel PingPong -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,7.72,0,8.0018,0
1,1000,7.77,0.13,8.0027,0.125
2,1000,7.77,0.26,8.0035,0.2499
4,1000,7.75,0.52,8.0052,0.4997
8,1000,7.78,1.03,8.0086,0.9989
16,1000,7.77,2.06,8.0154,1.9962
32,1000,7.75,4.13,8.029,3.9856
64,1000,8.03,7.97,8.0561,7.9443
128,1000,7.95,16.1,8.1104,15.7822
256,1000,8.02,31.92,8.219,31.1474
512,1000,9.73,52.63,8.4361,60.6915
1024,1000,9.93,103.13,8.8702,115.4427
2048,1000,10.38,197.32,9.7382,210.3055
4096,1000,11.63,352.31,11.473,357.0108
8192,1000,13.05,627.59,14.9298,548.7028
16384,1000,22.78,719.11,21.7293,754.0063
32768,1000,35.03,935.52,34.6401,945.9553
65536,640,56.19,1166.23,56.1815,1166.5046
131072,320,102.91,1273.66,86.975,1507.0084
262144,160,114.92,2281.17,126.0813,2079.1658
524288,80,175.56,2986.43,175.3896,2989.276
1048576,40,316.37,3314.4,310.9581,3372.0817
2097152,20,627.54,3341.87,609.3534,3441.6024
4194304,10,1247.15,3363.11,1247.2142,3362.9379
