X.bytes,X.repetitions,t.usec.,Mbytes.sec,X,X.1,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.45,0,,,0.5486,0
1,1000,0.45,2.24,,,0.5489,1.8219
2,1000,0.45,4.41,,,0.5491,3.6423
4,1000,0.45,8.89,,,0.5496,7.2786
8,1000,0.45,17.63,,,0.5505,14.5334
16,1000,0.45,35.73,,,0.5523,28.9716
32,1000,0.49,65.41,,,0.5559,57.5663
64,1000,0.48,132.2,,,0.5631,113.655
128,1000,0.58,222.17,,,0.5775,221.6268
256,1000,0.62,414.91,,,0.6064,422.1887
512,1000,0.98,524.84,,,0.6638,771.3621
1024,1000,1.02,1006.3,,,0.7776,1316.8529
2048,1000,1.18,1734.14,,,1.0015,2044.9374
4096,1000,1.6,2567.1,,,1.434,2856.2719
8192,1000,2.12,3873.12,,,2.2393,3658.2707
16384,1000,3.54,4629.65,,,3.642,4498.6648
32768,1000,5.44,6023.72,,,5.8279,5622.6511
65536,640,9.19,7128.6,,,9.1884,7132.4573
131072,320,15.33,8548.77,,,16.2189,8081.4346
262144,160,29.18,8982.82,,,30.7877,8514.5584
524288,80,67.73,7740.53,,,67.7268,7741.223
1048576,40,132.53,7912.04,,,151.3037,6930.2746
2097152,20,257.55,8142.65,,,284.7306,7365.3894
4194304,10,510.54,8215.44,,,510.531,8215.5724
8388608,5,1070.23,7838.14,,,1096.1628,7652.7028
16777216,2,2266.15,7403.4,,,2684.2002,6250.3594
33554432,1,7929.73,4231.47,,,6990.7799,4799.8124
67108864,1,15825.69,4240.5,,,15833.6469,4238.3706
134217728,1,31703.19,4233.57,,,29568.0153,4539.2877
268435456,1,62855.24,4270.69,,,59775.3723,4490.7367
536870912,1,120424.76,4458.14,,,120425.0753,4458.1323
