X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.47,0,0.5656,0
1,1000,0.48,2.09,0.5658,1.7673
2,1000,0.48,4.16,0.5661,3.5332
4,1000,0.48,8.34,0.5665,7.0606
8,1000,0.48,16.76,0.5675,14.0979
16,1000,0.48,33.4,0.5693,28.1032
32,1000,0.51,62.5,0.5731,55.8398
64,1000,0.5,128.36,0.5805,110.2425
128,1000,0.6,211.62,0.5955,214.9591
256,1000,0.63,405.77,0.6252,409.444
512,1000,0.98,522.7,0.6845,747.972
1024,1000,1.03,993.35,0.802,1276.8288
2048,1000,1.18,1739.14,1.0325,1983.4795
4096,1000,1.62,2522.04,1.4761,2774.9714
8192,1000,2.19,3748.13,2.2938,3571.3008
16384,1000,3.59,4559.71,3.6898,4440.3276
32768,1000,5.3,6185.35,5.798,5651.6138
65536,640,9.21,7119.42,9.2078,7117.4426
131072,320,15,8737.63,16.8578,7775.1337
262144,160,28.72,9127.83,31.3433,8363.6253
524288,80,66.16,7924.01,66.158,7924.7893
1048576,40,131.26,7988.44,147.4944,7109.2615
2097152,20,256.06,8189.95,280.2502,7483.143
4194304,10,510.13,8222.03,510.1192,8222.2037
8388608,5,1063.01,7891.35,1062.0631,7898.408
16777216,2,2318.08,7237.56,2546.7796,6587.62
33554432,1,7940.21,4225.89,7938.9418,4226.5623
67108864,1,15798.75,4247.73,21139.4314,3174.5823
134217728,1,31623.32,4244.26,38738.5456,3464.7075
268435456,1,62913.13,4266.76,62913.6877,4266.7258
