# mpirun -np 2 --report-bindings ./IMB-MPI1 PingPong -off_cache -1  -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,5.11
2,1000,0.19,10.36
4,1000,0.19,20.70
8,1000,0.18,44.02
16,1000,0.18,87.79
32,1000,0.22,143.66
64,1000,0.22,286.00
128,1000,0.29,446.23
256,1000,0.31,821.51
512,1000,0.41,1259.92
1024,1000,0.54,1895.12
2048,1000,0.79,2593.68
4096,1000,1.38,2978.68
8192,1000,2.60,3152.74
16384,1000,4.46,3672.83
32768,1000,7.37,4444.57
65536,640,12.98,5049.99
131072,320,23.86,5492.64
262144,160,40.87,6414.33
524288,80,77.24,6788.04
1048576,40,157.58,6654.11
2097152,20,293.21,7152.38
4194304,10,580.99,7219.27
8388608,5,1163.09,7212.35
16777216,2,2395.43,7003.84
33554432,1,5366.51,6252.56
67108864,1,10819.63,6202.51
134217728,1,22811.54,5883.77
268435456,1,42839.54,6266.07
