# mpirun -np 2 -mca pml ob1 --mca btl self,tcp  --map-by socket --report-bindings ./IMB-MPI1 PingPong -off_cache -1 -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.83,0.00
1,1000,7.92,0.13
2,1000,7.94,0.25
4,1000,7.85,0.51
8,1000,7.91,1.01
16,1000,7.92,2.02
32,1000,7.90,4.05
64,1000,7.93,8.07
128,1000,8.34,15.36
256,1000,8.42,30.40
512,1000,8.42,60.79
1024,1000,9.38,109.14
2048,1000,9.01,227.26
4096,1000,10.73,381.87
8192,1000,11.97,684.22
16384,1000,16.95,966.82
32768,1000,29.10,1126.05
65536,640,60.64,1080.79
131072,320,85.28,1536.92
262144,160,130.80,2004.20
524288,80,209.56,2501.87
1048576,40,353.25,2968.39
2097152,20,655.13,3201.14
4194304,10,1272.92,3295.02
8388608,5,2492.99,3364.87
16777216,2,4972.77,3373.82
33554432,1,10282.09,3263.39
67108864,1,20312.86,3303.76
134217728,1,42229.97,3178.26
268435456,1,80938.29,3316.54
