# mpirun -np 2 --map-by socket --report-bindings ./IMB-MPI1 PingPong -off_cache -1 -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.41,0,0.6032,0
1,1000,0.42,2.38,0.6038,1.6562
2,1000,0.39,5.11,0.6043,3.3095
4,1000,0.39,10.23,0.6054,6.6071
8,1000,0.39,20.44,0.6076,13.1673
16,1000,0.39,41.08,0.6119,26.1485
32,1000,0.56,57.06,0.6205,51.5687
64,1000,0.56,114.6,0.6378,100.3433
128,1000,0.88,145.44,0.6723,190.3798
256,1000,0.94,271.71,0.7413,345.349
512,1000,1.13,452.69,0.8787,582.6695
1024,1000,1.41,724.33,1.1518,889.0355
2048,1000,2.15,951.24,1.6908,1211.2691
4096,1000,2.98,1373.5,2.74,1494.8935
8192,1000,4.67,1753.43,4.7262,1733.3025
16384,1000,8.03,2041.23,8.3004,1973.8787
32768,1000,13.61,2407.96,14.1478,2316.1168
65536,640,22.61,2898.97,22.6089,2898.6785
131072,320,42.09,3114.37,35.0013,3744.7794
262144,160,41,6394.13,49.3947,5307.1293
524288,80,78.03,6719.43,77.9351,6727.2369
1048576,40,147.63,7102.67,172.6367,6073.8877
2097152,20,284.11,7381.48,319.6001,6561.801
4194304,10,566.89,7398.77,566.8888,7398.812
