X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,16.19,0,21.7049,0
1,1000,16.27,0.06,21.7056,0.0461
2,1000,16.25,0.12,21.7064,0.0921
4,1000,16.3,0.25,21.7079,0.1843
8,1000,16.27,0.49,21.7108,0.3685
16,1000,16.25,0.98,21.7168,0.7368
32,1000,16.32,1.96,21.7287,1.4727
64,1000,16.57,3.86,21.7525,2.9422
128,1000,17.39,7.36,21.8002,5.8715
256,1000,17.2,14.88,21.8954,11.6919
512,1000,17.45,29.35,22.0859,23.1822
1024,1000,18.08,56.65,22.4666,45.5788
2048,1000,39.79,51.46,23.2268,88.1741
4096,1000,39.93,102.57,24.7433,165.5395
8192,1000,41.19,198.91,27.7604,295.0966
16384,1000,43.49,376.71,33.7287,485.7588
32768,1000,53.45,613.06,45.4034,721.7076
65536,640,64.81,1011.19,67.7188,967.7662
131072,320,118.95,1101.9,108.3175,1210.0727
262144,160,162.26,1615.63,179.7535,1458.3529
524288,80,243.06,2157.01,298.4116,1756.9289
1048576,40,399.7,2623.42,465.1074,2254.4815
2097152,20,725.92,2888.95,725.8957,2889.0541
4194304,10,1471.77,2849.84,1416.1082,2961.8527
8388608,5,3243.44,2586.33,2935.4332,2857.707
16777216,2,6734.66,2491.18,6393.6938,2624.0256
33554432,1,13900.78,2413.85,13900.7408,2413.8593
67108864,1,25908.63,2590.21,27881.0167,2406.9733
134217728,1,50979.92,2632.76,53100.8671,2527.5996
268435456,1,99355.49,2701.77,99357.6483,2701.709
