X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,15.2,0,16.6379,0
1,1000,15.28,0.07,16.6411,0.0601
2,1000,15.24,0.13,16.6444,0.1202
4,1000,15.23,0.26,16.6508,0.2402
8,1000,15.25,0.52,16.6637,0.4801
16,1000,15.29,1.05,16.6895,0.9587
32,1000,15.33,2.09,16.7409,1.9115
64,1000,15.36,4.17,16.8439,3.7996
128,1000,15.76,8.12,17.0492,7.5077
256,1000,15.75,16.25,17.4577,14.664
512,1000,16.07,31.86,18.2672,28.0284
1024,1000,16.49,62.1,19.8563,51.5704
2048,1000,38.37,53.38,22.9112,89.3884
4096,1000,38.17,107.32,28.5315,143.5606
8192,1000,39.29,208.5,37.9078,216.1032
16384,1000,41.1,398.66,50.7346,322.9354
32768,1000,45.47,720.65,61.3693,533.9477
65536,640,81.06,808.51,81.0472,808.615
131072,320,137.51,953.18,167.9269,780.5303
262144,160,205.51,1275.56,259.8254,1008.9237
524288,80,315.04,1664.21,314.9634,1664.5995
1048576,40,522.26,2007.78,493.8301,2123.3536
2097152,20,949.06,2209.7,918.3561,2283.5935
4194304,10,1932.6,2170.29,1932.5423,2170.3556
8388608,5,4060.06,2066.13,3717.8412,2256.3116
16777216,2,8181.87,2050.54,7845.4196,2138.4727
33554432,1,16508.61,2032.54,16508.4106,2032.5659
67108864,1,32799.5,2046.03,33033.2081,2031.5576
134217728,1,64622.01,2076.97,65190.5168,2058.8536
268435456,1,128034.97,2096.58,128033.626,2096.6012
