X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.98,0,1.2357,0
1,1000,0.98,1.02,1.2362,0.809
2,1000,0.99,2.02,1.2366,1.6173
4,1000,0.99,4.06,1.2375,3.2324
8,1000,0.98,8.16,1.2392,6.4559
16,1000,0.99,16.24,1.2426,12.8759
32,1000,1.01,31.84,1.2495,25.6098
64,1000,1.17,54.51,1.2633,50.661
128,1000,1.21,105.36,1.2908,99.1618
256,1000,2.86,89.47,1.3457,190.2377
512,1000,1.49,344.1,1.4548,351.9427
1024,1000,1.65,620.04,1.6704,613.0147
2048,1000,2.33,879.56,2.0914,979.2486
4096,1000,3.19,1283.01,2.8922,1416.2465
8192,1000,4.46,1835.77,4.3326,1890.7869
16384,1000,6.25,2622.09,6.6514,2463.23
32768,1000,8.6,3811.44,9.5872,3417.8876
65536,640,12.45,5265.02,12.4477,5264.9181
131072,320,18.83,6961.44,18.6452,7029.7865
262144,160,32.58,8046.18,31.4679,8330.5092
524288,80,54.27,9660.74,54.274,9660.0149
1048576,40,96.91,10819.78,92.789,11300.6491
2097152,20,186,11275.31,178.0447,11778.7935
4194304,10,352.48,11899.25,352.4902,11899.0654
