# mpirun -np 2 --map-by node --report-bindings ./IMB-MPI1 PingPong -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,1.37,0,1.5752,0
1,1000,1.36,0.74,1.5757,0.6346
2,1000,1.36,1.47,1.5762,1.2689
4,1000,1.36,2.95,1.5772,2.5361
8,1000,1.36,5.9,1.5793,5.0656
16,1000,1.36,11.76,1.5834,10.1051
32,1000,1.39,23,1.5915,20.1065
64,1000,1.67,38.31,1.6078,39.8047
128,1000,1.72,74.51,1.6404,78.0276
256,1000,1.99,128.74,1.7054,150.1095
512,1000,2.06,248.89,1.8346,279.0805
1024,1000,2.29,447.66,2.0898,489.9971
2048,1000,2.97,689.59,2.5874,791.5165
4096,1000,3.94,1040.64,3.5318,1159.754
8192,1000,5.51,1485.62,5.2226,1568.5655
16384,1000,7.29,2248.79,7.9221,2068.1463
32768,1000,10.04,3265.36,11.2737,2906.5896
65536,640,14.48,4524.65,14.4783,4526.5074
131072,320,23.55,5565.16,21.3477,6139.8579
262144,160,33.92,7728.49,33.8582,7742.4007
524288,80,55.7,9412.49,55.6848,9415.2811
1048576,40,98.84,10608.82,97.4554,10759.5442
2097152,20,184.62,11359.15,182.8024,11472.2346
4194304,10,354.5,11831.55,354.4993,11831.6294
8388608,5,698.03,12017.6,697.3846,12028.6687
16777216,2,1382.72,12133.47,1382.6394,12134.1953
33554432,1,2758.32,12164.79,2758.3142,12164.8333
67108864,1,5502.91,12195.15,5515.2262,12167.9259
134217728,1,11015.38,12184.57,11025.7808,12173.0814
268435456,1,22064.9,12165.72,22064.9306,12165.7059
