# mpirun -np 2 -mca pml ob1 --mca btl self,tcp  --map-by socket --report-bindings ./IMB-MPI1 PingPong -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,8.11,0,8.3838,0
1,1000,8.21,0.12,8.3842,0.1193
2,1000,8.23,0.24,8.3846,0.2385
4,1000,8.18,0.49,8.3854,0.477
8,1000,8.2,0.98,8.387,0.9539
16,1000,8.16,1.96,8.3903,1.907
32,1000,8.19,3.91,8.3968,3.811
64,1000,8.21,7.8,8.4098,7.6101
128,1000,8.57,14.93,8.4359,15.1732
256,1000,8.65,29.61,8.4882,30.1594
512,1000,8.67,59.07,8.5932,59.5821
1024,1000,9.78,104.73,8.8046,116.3027
2048,1000,9.13,224.37,9.2334,221.8045
4096,1000,11.02,371.6,10.1146,404.9597
8192,1000,11.64,703.64,11.9755,684.066
16384,1000,15.85,1033.76,16.1444,1014.8394
32768,1000,26.03,1258.74,26.5448,1234.4418
65536,640,57.37,1142.44,57.3691,1142.3581
131072,320,80.68,1624.62,119.5991,1095.9282
262144,160,121.7,2153.99,175.0248,1497.7538
524288,80,194.83,2691,194.8047,2691.3514
1048576,40,324.84,3228.02,327.7329,3199.4839
2097152,20,615.7,3406.15,610.7634,3433.6568
4194304,10,1221.39,3434.05,1221.425,3433.943
