X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,9.17,0,9.6393,0
1,1000,9.32,0.11,9.6399,0.1037
2,1000,9.32,0.21,9.6406,0.2075
4,1000,9.29,0.43,9.6418,0.4149
8,1000,9.31,0.86,9.6444,0.8295
16,1000,9.25,1.73,9.6495,1.6581
32,1000,9.3,3.44,9.6597,3.3127
64,1000,9.32,6.87,9.6801,6.6115
128,1000,9.64,13.28,9.7209,13.1675
256,1000,9.7,26.39,9.8025,26.1159
512,1000,9.73,52.6,9.9656,51.3768
1024,1000,10.51,97.43,10.2916,99.4983
2048,1000,10.26,199.58,10.9428,187.1549
4096,1000,11.88,344.83,12.2421,334.5844
8192,1000,12.91,634.6,14.8277,552.4791
16384,1000,17.31,946.61,19.9465,821.3989
32768,1000,27.52,1190.74,29.9752,1093.1705
65536,640,62.72,1044.97,49.2069,1331.8455
131072,320,88.79,1476.16,84.4416,1552.2201
262144,160,133.93,1957.37,147.1063,1782.0041
524288,80,208.37,2516.17,253.2229,2070.4607
1048576,40,356.77,2939.06,410.0387,2557.2608
2097152,20,673.49,3113.85,673.4697,3113.9514
4194304,10,1341.56,3126.44,1331.0457,3151.1346
8388608,5,2646.68,3169.48,2655.9222,3158.454
16777216,2,5347.13,3137.61,5341.0029,3141.2108
33554432,1,10823.79,3100.06,10823.9094,3100.0289
67108864,1,21277.37,3154,21785.5135,3080.4353
134217728,1,42614.85,3149.55,43167.8258,3109.2075
268435456,1,85545.77,3137.92,85546.3219,3137.8959
