X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.44,0,2.1255,0
1,1000,0.42,2.37,2.1257,0.4704
2,1000,0.42,4.75,2.1259,0.9408
4,1000,0.42,9.59,2.1263,1.8812
8,1000,0.42,19.08,2.1271,3.761
16,1000,0.42,38.09,2.1288,7.516
32,1000,0.56,56.68,2.1321,15.0086
64,1000,0.57,112.93,2.1388,29.9238
128,1000,1.08,118.23,2.1521,59.4778
256,1000,1.13,225.86,2.1787,117.5031
512,1000,1.21,423.06,2.2319,229.403
1024,1000,1.46,700.89,2.3381,437.9559
2048,1000,2.11,972.66,2.5499,803.1807
4096,1000,2.99,1370.65,2.9714,1378.4811
8192,1000,4.61,1778.43,3.8057,2152.5357
16384,1000,6.98,2347.97,5.4369,3013.4884
32768,1000,12.43,2636.45,8.5522,3831.5392
65536,640,22.68,2889.72,14.2156,4610.1394
131072,320,42.52,3082.68,23.4409,5591.5847
262144,160,14.51,18067.69,38.0441,6890.5356
524288,80,26.42,19841.41,60.8288,8619.0688
1048576,40,61.74,16983.04,90.0066,11649.9876
2097152,20,157.11,13347.94,157.1481,13345.0714
4194304,10,348.31,12041.9,402.5043,10420.5186
8388608,5,805.69,10411.72,978.3009,8574.6703
16777216,2,2434.6,6891.16,2458.8417,6823.2192
33554432,1,6643.7,5050.57,6644.6064,5049.875
67108864,1,13805.14,4861.15,15711.6981,4271.2674
134217728,1,26945.7,4981.04,29993.5623,4474.8845
268435456,1,53856.05,4984.31,53853.69,4984.5323
