# mpirun -np 2 --map-by socket --report-bindings ./IMB-MPI1 PingPong -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.43,0,0.6697,0
1,1000,0.42,2.39,0.6702,1.492
2,1000,0.42,4.78,0.6707,2.9819
4,1000,0.42,9.58,0.6717,5.9551
8,1000,0.42,19.15,0.6737,11.8755
16,1000,0.42,38.24,0.6776,23.6134
32,1000,0.57,56.31,0.6854,46.6866
64,1000,0.57,112.99,0.7011,91.2851
128,1000,1.05,122.38,0.7324,174.7604
256,1000,1.07,238.96,0.795,322.0229
512,1000,1.19,430.17,0.9197,556.7233
1024,1000,1.44,711.84,1.1675,877.1187
2048,1000,2.08,985.49,1.6564,1236.3873
4096,1000,2.96,1381.58,2.6082,1570.4193
8192,1000,4.65,1762.42,4.4125,1856.5328
16384,1000,7.14,2294.1,7.697,2128.6346
32768,1000,12.66,2587.57,13.3386,2456.6368
65536,640,23.35,2807.23,23.3507,2806.5933
131072,320,43.93,2983.36,37.8429,3463.5853
262144,160,14.71,17821.91,38.0871,6882.7422
524288,80,26.47,19804.06,26.3012,19933.9948
1048576,40,60.04,17465.14,95.0094,11036.5556
2097152,20,156.79,13375.69,192.7726,10878.8907
4194304,10,347.21,12080.05,347.2852,12077.406
8388608,5,779.93,10755.53,998.1484,8404.1695
16777216,2,2458.3,6824.74,2488.146,6742.8583
33554432,1,6605.63,5079.68,6606.7921,5078.7782
67108864,1,13714.06,4893.43,15519.8835,4324.0572
134217728,1,27596.86,4863.51,29928.3289,4484.6382
268435456,1,52950.88,5069.52,52951.4689,5069.4619
