X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.53,0,1.2738,0
1,1000,0.62,1.61,1.2738,0.785
2,1000,0.62,3.24,1.2739,1.57
4,1000,0.62,6.41,1.274,3.1396
8,1000,0.62,12.83,1.2743,6.2778
16,1000,0.66,24.4,1.2749,12.5498
32,1000,0.71,44.79,1.2761,25.0766
64,1000,0.81,79.14,1.2784,50.0618
128,1000,1.06,120.83,1.2831,99.7599
256,1000,1.28,199.93,1.2924,198.0803
512,1000,1.18,432.63,1.3111,390.5248
1024,1000,1.42,722.29,1.3484,759.4435
2048,1000,1.64,1252.57,1.4229,1439.2736
4096,1000,2.94,1394.25,1.5721,2605.4207
8192,1000,3.09,2653.09,1.8704,4379.8185
16384,1000,3.73,4390.61,2.4667,6642.1588
32768,1000,4.77,6865.53,3.6581,8957.6944
65536,640,6.98,9383.78,6.0375,10854.7855
131072,320,10.59,12381.29,10.7917,12145.6722
262144,160,19.5,13444.93,20.633,12705.0829
524288,80,39.54,13261.25,42.2488,12409.5489
1048576,40,92.82,11297.44,92.8163,11297.3235
2097152,20,220.11,9527.74,220.1257,9527.0646
4194304,10,404.05,10380.61,528.281,7939.5327
8388608,5,883.07,9499.34,1271.9353,6595.153
16777216,2,3218.23,5213.18,3210.5901,5225.5864
33554432,1,8426.67,3981.93,8429.0494,3980.8086
67108864,1,17031.26,3940.34,19288.7395,3479.1731
134217728,1,34015.89,3945.74,37142.8087,3613.5589
268435456,1,68067,3943.69,68066.3993,3943.7293
