X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.22,0,0.2473,523.3257
1,1000,0.23,4.34,0.2474,524.0359
2,1000,0.23,8.7,0.2476,524.7462
4,1000,0.23,17.35,0.2479,526.1669
8,1000,0.23,34.44,0.2486,529.0098
16,1000,0.23,69.26,0.2499,534.6938
32,1000,0.25,128.82,0.2524,546.0501
64,1000,0.25,254.81,0.2575,568.7531
128,1000,0.27,482.63,0.2678,614.0681
256,1000,0.28,909.4,0.2882,704.2877
512,1000,0.42,1206.16,0.3289,883.3457
1024,1000,0.45,2290.11,0.4095,1235.89
2048,1000,0.6,3430.57,0.5677,1917.9917
4096,1000,0.85,4829.56,0.8721,3190.9572
8192,1000,1.43,5717.39,1.4334,5388.6778
16384,1000,2.36,6952.08,2.3848,8622.0176
32768,1000,3.47,9447.17,3.7733,11615.9965
65536,640,5.72,11449.58,5.7185,11450.6789
131072,320,8.6,15243.79,9.7094,12099.9636
262144,160,15,17479.77,17.5593,14349.1423
524288,80,42.25,12409.61,42.2431,12403.954
1048576,40,81.36,12887.65,105.726,-5334.7102
2097152,20,153.62,13651.79,196.7628,-11184.886
4194304,10,388.87,10786.01,388.8171,10786.6568
