X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.27,0,0.314,390.519
1,1000,0.27,3.64,0.3142,391.2019
2,1000,0.27,7.28,0.3144,391.8847
4,1000,0.28,14.37,0.3147,393.2505
8,1000,0.28,28.93,0.3153,395.9833
16,1000,0.28,56.94,0.3166,401.4472
32,1000,0.29,112.28,0.3192,412.3648
64,1000,0.3,216.93,0.3243,434.1892
128,1000,0.3,427.83,0.3345,477.7522
256,1000,0.33,786.82,0.3549,564.4982
512,1000,0.54,946.82,0.3956,736.6803
1024,1000,0.6,1708.44,0.4762,1075.763
2048,1000,0.74,2769.91,0.6345,1732.236
4096,1000,0.97,4232.93,0.9395,2959.0012
8192,1000,1.49,5491.79,1.5037,5081.2388
16384,1000,2.4,6819.79,2.47,8205.6011
32768,1000,3.63,9035.4,3.9092,11105.5975
65536,640,5.9,11105.59,5.8989,11105.1843
131072,320,8.86,14795.9,9.846,12155.9064
262144,160,16.18,16201.96,17.8461,14288.6961
524288,80,40.19,13045.62,40.1871,13036.9087
1048576,40,83.49,12558.89,95.9725,969.4925
2097152,20,168.75,12427.6,191.6912,-3610.7454
4194304,10,402.09,10431.34,402.0599,10432.4627
