X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.49,0,0.5027,267.0622
1,1000,0.48,2.06,0.5029,267.7222
2,1000,0.49,4.1,0.503,268.3822
4,1000,0.47,8.51,0.5033,269.7024
8,1000,0.47,16.86,0.5039,272.3434
16,1000,0.48,33.11,0.505,277.6241
32,1000,0.49,65.67,0.5073,288.1771
64,1000,0.49,129.88,0.5119,309.2717
128,1000,0.5,258.05,0.521,351.3844
256,1000,0.5,512.86,0.5393,435.276
512,1000,0.63,812.16,0.5756,601.879
1024,1000,0.76,1354.28,0.6476,930.3323
2048,1000,0.81,2520.5,0.7891,1567.8107
4096,1000,1.17,3494.08,1.0616,2765.4863
8192,1000,1.56,5238.23,1.566,4861.5621
16384,1000,2.35,6984.07,2.4326,8022.2957
32768,1000,3.48,9421.97,3.7439,11188.3972
65536,640,5.7,11494.42,5.6991,11492.9178
131072,320,8.64,15167.37,9.6734,12014.2081
262144,160,14.8,17715.86,17.3785,14320.6119
524288,80,41.49,12637.87,41.4825,12633.4485
1048576,40,81.61,12849.17,104.0335,-5534.0843
2097152,20,153.85,13631.44,195.2621,-11624.8828
4194304,10,390.76,10733.76,390.7031,10735.1926
