#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.16,0.00
1,1000,5.16,0.19
2,1000,5.16,0.39
4,1000,5.17,0.77
8,1000,5.17,1.55
16,1000,5.18,3.09
32,1000,5.19,6.17
64,1000,5.19,12.33
128,1000,5.21,24.58
256,1000,5.25,48.74
512,1000,6.60,77.62
1024,1000,6.74,151.85
2048,1000,7.02,291.91
4096,1000,7.58,540.13
8192,1000,8.40,975.00
16384,1000,14.82,1105.54
32768,1000,21.24,1543.10
65536,640,38.24,1713.71
131072,320,72.35,1811.75
262144,160,53.68,4883.19
524288,80,89.18,5879.04
1048576,40,152.04,6896.79
2097152,20,304.24,6893.11
4194304,10,646.77,6484.99
8388608,5,1508.44,5561.13
16777216,2,3198.52,5245.30
33554432,1,6537.56,5132.56
67108864,1,13057.48,5139.50
134217728,1,25865.91,5188.98
268435456,1,51662.80,5195.91
