X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.23,0,0.2477,517.8078
1,1000,0.23,4.29,0.2479,518.5259
2,1000,0.23,8.55,0.2481,519.2439
4,1000,0.23,17.17,0.2484,520.6804
8,1000,0.23,34.31,0.249,523.5547
16,1000,0.23,68.44,0.2503,529.3013
32,1000,0.24,132.23,0.2528,540.7829
64,1000,0.24,263.22,0.2578,563.7359
128,1000,0.26,492.58,0.2679,609.5491
256,1000,0.28,913.6,0.288,700.7588
512,1000,0.43,1189.12,0.3281,881.7681
1024,1000,0.46,2227.75,0.4075,1238.1003
2048,1000,0.59,3470.97,0.5634,1927.3274
4096,1000,0.85,4808.27,0.864,3212.7332
8192,1000,1.42,5758.01,1.42,5427.8722
16384,1000,2.34,7014.57,2.3696,8670.5455
32768,1000,3.5,9373.73,3.7697,11632.0527
65536,640,5.66,11576.4,5.6587,11576.8819
131072,320,8.59,15254.98,9.3511,12890.5264
262144,160,14.8,17706.92,16.9336,15434.4432
524288,80,40.96,12800.16,40.953,12795.2587
1048576,40,81.26,12903.72,102.4417,-4862.456
2097152,20,154.64,13561.87,195.9843,-10923.7198
4194304,10,414.69,10114.36,414.6248,10116.0899
