X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.
0,1000,0.26,0,0.3067
1,1000,0.27,3.75,0.3069
2,1000,0.27,7.44,0.3071
4,1000,0.27,14.81,0.3074
8,1000,0.27,29.68,0.308
16,1000,0.27,59.47,0.3093
32,1000,0.28,114.28,0.3119
64,1000,0.28,227.36,0.317
128,1000,0.29,440.09,0.3273
256,1000,0.31,832.73,0.3477
512,1000,0.57,903.15,0.3884
1024,1000,0.59,1721.11,0.4692
2048,1000,0.73,2813.96,0.6277
4096,1000,0.95,4296.68,0.9332
8192,1000,1.5,5451.84,1.4983
16384,1000,2.39,6857.17,2.466
32768,1000,3.63,9015.61,3.9035
65536,640,5.85,11198.26,5.849
131072,320,9.59,13670.32,9.8496
262144,160,18.63,14071.66,18.6253
524288,80,38.96,13456.87,38.9614
1048576,40,90.54,11581.4,84.9187
2097152,20,189.57,11062.46,188.5739
4194304,10,444.33,9439.55,444.2997
