X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,9.02,0,8.9959,12.7837
1,1000,8.45,0.12,8.9972,12.8405
2,1000,9.39,0.21,8.9985,12.8972
4,1000,8.68,0.46,9.0011,13.0107
8,1000,8.5,0.94,9.0064,13.2377
16,1000,8.46,1.89,9.0168,13.6917
32,1000,8.42,3.8,9.0377,14.5989
64,1000,8.43,7.59,9.0795,16.4123
128,1000,8.54,14.99,9.163,20.0329
256,1000,8.65,29.59,9.3297,27.2463
512,1000,11.02,46.47,9.6619,41.5758
1024,1000,11.49,89.14,10.3215,69.8419
2048,1000,13.96,146.68,11.6221,124.7645
4096,1000,14.95,274.05,14.148,228.2141
8192,1000,16.9,484.84,18.8978,410.382
16384,1000,27.61,593.33,27.3453,688.7194
32768,1000,38.93,841.73,41.3592,975.4877
65536,640,67.29,973.94,67.2715,974.0192
131072,320,122.57,1069.33,117.7938,901.1421
262144,160,149.7,1751.17,175.3375,1279.5076
524288,80,227.76,2301.98,227.5901,2303.1988
1048576,40,370.13,2832.97,377.2465,2589.6811
2097152,20,685.28,3060.28,688.472,2997.9305
4194304,10,1364.37,3074.16,1364.397,3072.4583
