X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,9.02,0,9.0624,13.0977
1,1000,8.94,0.11,9.0637,13.1536
2,1000,8.66,0.23,9.065,13.2096
4,1000,8.69,0.46,9.0677,13.3215
8,1000,8.86,0.9,9.073,13.5454
16,1000,8.54,1.87,9.0837,13.9931
32,1000,8.6,3.72,9.1049,14.8877
64,1000,8.68,7.37,9.1475,16.676
128,1000,8.75,14.63,9.2325,20.2464
256,1000,8.73,29.32,9.4022,27.3596
512,1000,11.06,46.28,9.7404,41.4895
1024,1000,11.7,87.52,10.4121,69.3598
2048,1000,13.94,146.93,11.7368,123.5031
4096,1000,14.87,275.51,14.3109,225.4451
8192,1000,17.01,481.61,19.1541,404.8408
16384,1000,28.27,579.5,27.7615,678.8162
32768,1000,39.58,827.81,41.9672,961.4684
65536,640,67.73,967.57,67.7096,967.6839
131072,320,123.66,1059.98,119.4403,899.4233
262144,160,172.76,1517.41,189.3168,1164.559
524288,80,267.8,1957.75,267.6833,1958.377
1048576,40,462.61,2266.66,433.9326,2299.7962
2097152,20,831.53,2522.04,805.8417,2659.2783
4194304,10,1627.78,2576.71,1627.7079,2575.9653
