#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.12,0.89
2,1000,1.13,1.77
4,1000,1.13,3.54
8,1000,1.13,7.09
16,1000,1.13,14.17
32,1000,1.15,27.82
64,1000,1.34,47.78
128,1000,1.39,92.35
256,1000,1.64,156.08
512,1000,1.72,298.42
1024,1000,1.90,539.62
2048,1000,2.49,821.87
4096,1000,3.33,1229.11
8192,1000,4.23,1935.99
16384,1000,5.93,2763.19
32768,1000,9.68,3383.72
65536,640,12.59,5206.90
131072,320,21.68,6046.01
262144,160,32.50,8065.14
524288,80,54.55,9611.78
1048576,40,97.14,10794.26
2097152,20,185.53,11303.59
4194304,10,354.18,11842.33
8388608,5,695.45,12062.21
16777216,2,1385.02,12113.38
33554432,1,2757.58,12168.08
67108864,1,5517.45,12163.03
134217728,1,10982.92,12220.59
268435456,1,22014.22,12193.73
