#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.46,0.00
1,1000,1.46,0.68
2,1000,1.45,1.38
4,1000,1.46,2.75
8,1000,1.45,5.51
16,1000,1.46,10.94
32,1000,1.49,21.55
64,1000,1.73,36.91
128,1000,1.78,71.93
256,1000,2.08,123.23
512,1000,3.65,140.30
1024,1000,2.36,434.60
2048,1000,3.16,647.67
4096,1000,3.90,1049.43
8192,1000,5.06,1617.48
16384,1000,6.79,2413.05
32768,1000,10.66,3073.98
65536,640,13.98,4688.36
131072,320,22.45,5837.79
262144,160,33.68,7782.68
524288,80,56.66,9253.16
1048576,40,98.53,10641.68
2097152,20,185.46,11308.06
4194304,10,355.88,11785.85
8388608,5,699.47,11992.76
16777216,2,1387.64,12090.46
33554432,1,2757.18,12169.82
67108864,1,5504.27,12192.14
134217728,1,10984.59,12218.73
268435456,1,22021.46,12189.72
