X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.43,0,0.5093,234.3158
1,1000,0.43,2.35,0.5095,234.8172
2,1000,0.43,4.65,0.5097,235.3185
4,1000,0.43,9.21,0.5101,236.3213
8,1000,0.43,18.67,0.5109,238.3276
16,1000,0.43,36.87,0.5126,242.339
32,1000,0.47,67.52,0.516,250.3545
64,1000,0.47,135.25,0.5227,266.3768
128,1000,0.57,224.87,0.536,298.3578
256,1000,0.61,420.64,0.5627,362.0398
512,1000,0.81,633.24,0.6158,488.4271
1024,1000,0.87,1172.87,0.7212,737.2633
2048,1000,1.04,1961.5,0.9287,1218.7912
4096,1000,1.53,2670.8,1.3303,2117.6806
8192,1000,1.97,4155.35,2.0805,3667.9188
16384,1000,3.31,4949.39,3.4001,5922.3051
32768,1000,5.14,6373.26,5.5293,7869.376
65536,640,9.24,7089.9,9.2384,7089.5453
131072,320,17.86,7338.94,17.7071,6081.445
262144,160,34.3,7643.13,35.8082,5871.0083
524288,80,83.07,6311.27,83.0607,6311.0823
1048576,40,169.76,6176.92,191.0885,2444.6782
2097152,20,336.58,6230.75,367.4859,1086.0096
4194304,10,668.66,6272.72,668.6515,6273.2872
