#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.27
2,1000,0.44,4.52
4,1000,0.44,9.08
8,1000,0.44,18.16
16,1000,0.44,36.14
32,1000,0.49,64.80
64,1000,0.49,131.31
128,1000,0.59,217.32
256,1000,0.62,411.04
512,1000,0.93,549.16
1024,1000,0.98,1041.70
2048,1000,1.12,1827.34
4096,1000,1.53,2671.16
8192,1000,2.12,3867.03
16384,1000,3.49,4699.71
32768,1000,5.40,6064.35
65536,640,9.29,7055.84
131072,320,15.23,8608.09
262144,160,28.68,9141.34
524288,80,67.66,7749.13
1048576,40,131.76,7958.31
2097152,20,256.75,8168.03
4194304,10,509.07,8239.10
8388608,5,1070.39,7836.99
16777216,2,2339.54,7171.17
33554432,1,7896.26,4249.41
67108864,1,15899.63,4220.78
134217728,1,31704.34,4233.42
268435456,1,62576.37,4289.73
