X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.63,0,0.7563,132.6165
1,1000,0.63,1.58,0.7565,133.0916
2,1000,0.64,3.11,0.7567,133.5667
4,1000,0.64,6.27,0.7571,134.517
8,1000,0.64,12.53,0.7578,136.4178
16,1000,0.64,25.02,0.7594,140.2185
32,1000,0.68,47.2,0.7626,147.8145
64,1000,0.72,89.1,0.7689,162.9959
128,1000,0.73,175.04,0.7815,193.3014
256,1000,0.75,341.52,0.8066,253.6704
512,1000,1.15,446.39,0.8567,373.5117
1024,1000,1.29,795.49,0.9562,609.5939
2048,1000,1.39,1474.09,1.1521,1067.1626
4096,1000,1.79,2283.64,1.5318,1924.1178
8192,1000,2.29,3583.82,2.2457,3409.8606
16384,1000,3.24,5063.99,3.5287,5581.0963
32768,1000,5.37,6103.97,5.6814,7492.2131
65536,640,9.4,6969.35,9.4005,6965.7276
131072,320,18.24,7187.37,17.5126,6488.0172
262144,160,34.66,7563.01,35.6867,6473.8729
524288,80,84.76,6185.64,84.7493,6185.6915
1048576,40,170.7,6142.79,195.801,2120.4011
2097152,20,337.68,6210.42,373.1275,733.7374
4194304,10,670.7,6253.66,670.6937,6253.9277
