#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.54,0.00
1,1000,9.57,0.10
2,1000,9.57,0.21
4,1000,9.53,0.42
8,1000,9.49,0.84
16,1000,9.56,1.67
32,1000,9.55,3.35
64,1000,9.76,6.56
128,1000,9.78,13.09
256,1000,9.85,25.98
512,1000,11.22,45.63
1024,1000,11.52,88.88
2048,1000,12.08,169.54
4096,1000,13.15,311.51
8192,1000,14.22,576.06
16384,1000,26.21,625.08
32768,1000,35.12,933.04
65536,640,56.86,1152.51
131072,320,101.84,1287.08
262144,160,118.93,2204.13
524288,80,185.02,2833.71
1048576,40,344.22,3046.24
2097152,20,672.66,3117.71
4194304,10,1321.95,3172.80
8388608,5,2621.30,3200.17
16777216,2,5415.72,3097.87
33554432,1,10832.08,3097.69
67108864,1,21501.81,3121.08
134217728,1,43258.70,3102.68
268435456,1,86475.13,3104.19
