#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.45,2.22
2,1000,0.45,4.43
4,1000,0.45,8.89
8,1000,0.45,17.81
16,1000,0.45,35.58
32,1000,0.49,65.35
64,1000,0.48,131.98
128,1000,0.57,224.47
256,1000,0.62,414.77
512,1000,0.97,529.73
1024,1000,1.02,999.73
2048,1000,1.16,1768.89
4096,1000,1.64,2495.46
8192,1000,2.11,3884.11
16384,1000,3.51,4666.14
32768,1000,5.32,6156.92
65536,640,9.31,7038.78
131072,320,15.08,8692.66
262144,160,28.42,9222.90
524288,80,64.86,8083.99
1048576,40,131.90,7949.86
2097152,20,255.97,8192.80
4194304,10,507.60,8263.04
8388608,5,1054.99,7951.35
16777216,2,2286.94,7336.09
33554432,1,7887.13,4254.33
67108864,1,15828.32,4239.80
134217728,1,31653.17,4240.26
268435456,1,62656.03,4284.27
