X.bytes,X.repetitions,t.usec.,Mbytes.sec,Mbytes.sec.comp.,t.usec.comp.
0,1000,16.19,0,58.9055,17.8662
1,1000,16.27,0.06,58.9152,17.8694
2,1000,16.25,0.12,58.925,17.8726
4,1000,16.3,0.25,58.9444,17.879
8,1000,16.27,0.49,58.9832,17.8919
16,1000,16.25,0.98,59.0609,17.9177
32,1000,16.32,1.96,59.2162,17.9692
64,1000,16.57,3.86,59.5269,18.0722
128,1000,17.39,7.36,60.1481,18.2777
256,1000,17.2,14.88,61.3902,18.6866
512,1000,17.45,29.35,63.8741,19.4975
1024,1000,18.08,56.65,68.8368,21.0919
2048,1000,39.79,51.46,78.741,24.1666
4096,1000,39.93,102.57,98.4804,29.8634
8192,1000,41.19,198.91,137.6722,39.5466
16384,1000,43.49,376.71,214.8718,53.3592
32768,1000,53.45,613.06,364.5709,65.0009
65536,640,64.81,1011.19,645.4533,64.8239
131072,320,118.95,1101.9,1135.4351,83.4706
262144,160,162.26,1615.63,1932.6279,137.4843
524288,80,243.06,2157.01,3038.303,242.9557
1048576,40,399.7,2623.42,3754.7736,380.5135
2097152,20,725.92,2888.95,2887.8943,704.0682
4194304,10,1471.77,2849.84,2363.1273,1471.7387
