X.bytes,X.repetitions,t.usec.,Mbytes.sec,Mbytes.sec.comp.,t.usec.comp.
0,1000,15.2,0,68.6574,16.6379
1,1000,15.28,0.07,68.6655,16.6411
2,1000,15.24,0.13,68.6736,16.6444
4,1000,15.23,0.26,68.6898,16.6508
8,1000,15.25,0.52,68.7222,16.6637
16,1000,15.29,1.05,68.7871,16.6895
32,1000,15.33,2.09,68.917,16.7409
64,1000,15.36,4.17,69.1766,16.8439
128,1000,15.76,8.12,69.6955,17.0492
256,1000,15.75,16.25,70.7334,17.4577
512,1000,16.07,31.86,72.8087,18.2672
1024,1000,16.49,62.1,76.9549,19.8563
2048,1000,38.37,53.38,85.2278,22.9112
4096,1000,38.17,107.32,101.7121,28.5315
8192,1000,39.29,208.5,134.4236,37.9078
16384,1000,41.1,398.66,198.7807,50.7346
32768,1000,45.47,720.65,323.2665,61.3693
65536,640,81.06,808.51,555.6269,81.0472
131072,320,137.51,953.18,956.3144,167.9269
262144,160,205.51,1275.56,1599.9526,259.8254
524288,80,315.04,1664.21,2478.6596,314.9634
1048576,40,522.26,2007.78,2994.9986,493.8301
2097152,20,949.06,2209.7,2208.9964,918.3561
4194304,10,1932.6,2170.29,1856.4171,1932.5423
