X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.98,0,1.8187,529.1656
1,1000,0.98,1.02,1.8188,529.2199
2,1000,0.99,2.02,1.819,529.2741
4,1000,0.99,4.06,1.8193,529.3826
8,1000,0.98,8.16,1.8199,529.5995
16,1000,0.99,16.24,1.821,530.0334
32,1000,1.01,31.84,1.8233,530.9016
64,1000,1.17,54.51,1.828,532.6376
128,1000,1.21,105.36,1.8372,536.1076
256,1000,2.86,89.47,1.8558,543.0474
512,1000,1.49,344.1,1.8928,556.9241
1024,1000,1.65,620.04,1.9669,584.6446
2048,1000,2.33,879.56,2.115,639.9459
4096,1000,3.19,1283.01,2.4105,750.104
8192,1000,4.46,1835.77,2.9993,968.557
16384,1000,6.25,2622.09,4.1678,1397.7437
32768,1000,8.6,3811.44,6.4685,2225.5106
65536,640,12.45,5265.02,10.9265,3760.7171
131072,320,18.83,6961.44,19.2822,6366.6089
262144,160,32.58,8046.18,34.6184,10455.5059
524288,80,54.27,9660.74,61.8412,15801.8364
1048576,40,96.91,10819.78,106.3155,18013.5098
2097152,20,186,11275.31,185.9938,11271.8357
4194304,10,352.48,11899.25,366.5864,9228.6089
8388608,5,694.09,12085.78,720.3544,6841.8973
16777216,2,1382.25,12137.64,1407.0001,7001.5304
33554432,1,2766.95,12126.87,2766.9585,12125.7234
67108864,1,5527.93,12139.96,5542.3718,11830.6997
134217728,1,11034.05,12163.96,11062.1664,11745.4733
268435456,1,22079.33,12157.77,22079.2871,12157.6988
