#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.36,1.47
4,1000,1.36,2.95
8,1000,1.36,5.90
16,1000,1.36,11.76
32,1000,1.39,23.00
64,1000,1.67,38.31
128,1000,1.72,74.51
256,1000,1.99,128.74
512,1000,2.06,248.89
1024,1000,2.29,447.66
2048,1000,2.97,689.59
4096,1000,3.94,1040.64
8192,1000,5.51,1485.62
16384,1000,7.29,2248.79
32768,1000,10.04,3265.36
65536,640,14.48,4524.65
131072,320,23.55,5565.16
262144,160,33.92,7728.49
524288,80,55.70,9412.49
1048576,40,98.84,10608.82
2097152,20,184.62,11359.15
4194304,10,354.50,11831.55
8388608,5,698.03,12017.60
16777216,2,1382.72,12133.47
33554432,1,2758.32,12164.79
67108864,1,5502.91,12195.15
134217728,1,11015.38,12184.57
268435456,1,22064.90,12165.72
