X.bytes,X.repetitions,t.usec.,Mbytes.sec,Mbytes.sec.comp.,t.usec.comp.
0,1000,9.17,0,156.8516,9.4304
1,1000,9.32,0.11,156.8636,9.4308
2,1000,9.32,0.21,156.8756,9.4313
4,1000,9.29,0.43,156.8997,9.4321
8,1000,9.31,0.86,156.9478,9.4338
16,1000,9.25,1.73,157.044,9.4373
32,1000,9.3,3.44,157.2364,9.4441
64,1000,9.32,6.87,157.6213,9.4579
128,1000,9.64,13.28,158.3906,9.4854
256,1000,9.7,26.39,159.9292,9.5405
512,1000,9.73,52.6,163.0058,9.6511
1024,1000,10.51,97.43,169.1522,9.8736
2048,1000,10.26,199.58,181.4166,10.3244
4096,1000,11.88,344.83,205.8538,11.2487
8192,1000,12.91,634.6,254.3468,13.19
16384,1000,17.31,946.61,349.7533,17.5137
32768,1000,27.52,1190.74,534.2933,28.4198
65536,640,62.72,1044.97,878.7252,62.7162
131072,320,88.79,1476.16,1472.5421,134.4242
262144,160,133.93,1957.37,2424.3064,196.1151
524288,80,208.37,2516.17,3712.3004,208.3434
1048576,40,356.77,2939.06,4419.9737,340.0872
2097152,20,673.49,3113.85,3112.6446,647.091
4194304,10,1341.56,3126.44,2402.3456,1341.5719
