X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.44,0,2.1255,213.4045
1,1000,0.42,2.37,2.1257,213.47
2,1000,0.42,4.75,2.1259,213.5356
4,1000,0.42,9.59,2.1263,213.6666
8,1000,0.42,19.08,2.1271,213.9286
16,1000,0.42,38.09,2.1288,214.4523
32,1000,0.56,56.68,2.1321,215.4993
64,1000,0.57,112.93,2.1388,217.5935
128,1000,1.08,118.23,2.1521,221.7851
256,1000,1.13,225.86,2.1787,230.1634
512,1000,1.21,423.06,2.2319,246.9064
1024,1000,1.46,700.89,2.3381,280.3821
2048,1000,2.11,972.66,2.5499,347.3087
4096,1000,2.99,1370.65,2.9714,480.8202
8192,1000,4.61,1778.43,3.8057,746.6814
16384,1000,6.98,2347.97,5.4369,1274.3272
32768,1000,12.43,2636.45,8.5522,2312.5979
65536,640,22.68,2889.72,14.2156,4316.9242
131072,320,42.52,3082.68,23.4409,8003.657
262144,160,14.51,18067.69,38.0441,14126.0751
524288,80,26.42,19841.41,60.8288,22113.131
1048576,40,61.74,16983.04,90.0066,25223.0549
2097152,20,157.11,13347.94,157.1481,13321.6128
4194304,10,348.31,12041.9,402.5043,4610.5314
8388608,5,805.69,10411.72,978.3009,-6564.1522
16777216,2,2434.6,6891.16,2458.8417,-10341.5139
33554432,1,6643.7,5050.57,6644.6064,5048.4925
67108864,1,13805.14,4861.15,15711.6981,7024.0761
134217728,1,26945.7,4981.04,29993.5623,7658.5191
268435456,1,53856.05,4984.31,53853.69,4988.2026
