X.bytes,X.repetitions,t.usec.,Mbytes.sec,Mbytes.sec.comp.,t.usec.comp.
0,1000,0.53,0,786.0941,0.8539
1,1000,0.62,1.61,786.1932,0.8543
2,1000,0.62,3.24,786.2922,0.8546
4,1000,0.62,6.41,786.4904,0.8552
8,1000,0.62,12.83,786.8867,0.8564
16,1000,0.66,24.4,787.6795,0.8589
32,1000,0.71,44.79,789.2657,0.8639
64,1000,0.81,79.14,792.4372,0.8738
128,1000,1.06,120.83,798.7766,0.8935
256,1000,1.28,199.93,811.4546,0.9329
512,1000,1.18,432.63,836.8038,1.011
1024,1000,1.42,722.29,887.4362,1.1649
2048,1000,1.64,1252.57,988.4216,1.4626
4096,1000,2.94,1394.25,1189.4842,2.0188
8192,1000,3.09,2653.09,1587.8205,2.9804
16384,1000,3.73,4390.61,2368.8485,4.4042
32768,1000,4.77,6865.53,3868.8308,5.8381
65536,640,6.98,9383.78,6624.3296,6.9794
131072,320,10.59,12381.29,11188.0934,11.4014
262144,160,19.5,13444.93,18055.6473,20.1819
524288,80,39.54,13261.25,26238.9816,39.5417
1048576,40,92.82,11297.44,26374.0663,87.1638
2097152,20,220.11,9527.74,9521.9799,198.5759
4194304,10,404.05,10380.61,7775.5041,404.1257
