X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.56,0,0.8621,92.5593
1,1000,0.61,1.65,0.8624,92.9106
2,1000,0.6,3.34,0.8627,93.2619
4,1000,0.6,6.64,0.8633,93.9645
8,1000,0.59,13.52,0.8645,95.3695
16,1000,0.64,25.06,0.8669,98.1792
32,1000,0.75,42.89,0.8717,103.7967
64,1000,0.88,72.88,0.8813,115.0254
128,1000,0.99,128.66,0.9004,137.4565
256,1000,1.1,233.74,0.9386,182.2109
512,1000,1.3,394.11,1.0142,271.2971
1024,1000,1.47,698.05,1.1632,447.7824
2048,1000,1.92,1064.91,1.4515,793.9826
4096,1000,2.61,1569.01,1.9894,1459.3053
8192,1000,3.25,2518.75,2.9184,2682.311
16384,1000,3.51,4672.27,4.2938,4735.2266
32768,1000,4.66,7033.82,5.66,7557.2883
65536,640,6.48,10106.36,6.4808,10103.6426
131072,320,10.39,12619.03,9.8956,12869.7643
262144,160,17.88,14659.53,17.7952,15644.7505
524288,80,37.96,13813,37.9569,13807.821
1048576,40,102.11,10269,90.1542,6532.8376
2097152,20,244.7,8570.4,221.472,1910.942
4194304,10,509.04,8239.7,509.0843,8245.2428
