map,n_procs,mintime,maxtime,jacobimin,jacobimax,mlups
core,1,15.326931,15.326931,15.06003152,15.06003152,112.7427272
core,4,3.858748348,3.85874772,3.768404083,3.777668069,447.8136028
core,8,1.95863601,1.958628143,1.890709842,1.897094623,882.2466202
core,12,1.333507936,1.333495453,1.263150336,1.288619846,1295.830308
socket,4,3.850354213,3.850353764,3.76440128,3.770585482,448.7898786
socket,8,1.953117655,1.953112042,1.889928863,1.893542023,884.7393272
socket,12,1.306369028,1.306364841,1.258017928,1.263933789,1322.750282
node,12,1.30782351,1.307818897,1.255182091,1.265930621,1321.279199
node,24,0.656724994,0.656718427,0.628154954,0.632242636,2631.238366
node,36,0.445517892,0.445510377,0.419658328,0.42296783,3878.632107
node,48,0.340961867,0.340948863,0.314334343,0.324211462,5068.015421
