map,n_procs,maxtime,maxtime,jacobimin,jacobimax,mlups
core,1,22.1153710050,22.1153710050,21.7701604600,21.7701604600,78.1357002607,
core,4,5.57575118300,5.57575021600,5.46640300200,5.47245570200,309.913398802,
core,8,2.95166051500,2.95165566200,2.85392561400,2.86524270300,585.433179466,
core,12,2.03315566400,2.03315192200,1.96462356700,1.96826614500,849.910329345,
socket,4,5.56158283000,5.56158178700,5.43252959800,5.45863290900,310.702915486,
socket,8,2.83493961000,2.83493504500,2.73541724000,2.74971544600,609.536793625,
socket,12,1.93241767900,1.93241448500,1.83455151100,1.87282281500,894.216617235,
socket,12,1.92956536700,1.92955893600,1.83312992800,1.86993411500,895.538461434,
socket,24,1.02169961800,1.02169525600,0.963314634000,0.985909693000,1691.29944805,
socket,36,0.905482317000,0.905464156000,0.661114366000,0.858844859000,1908.37520243,
socket,48,0.694381434000,0.694336907000,0.641978968000,0.663863079000,2488.54579830,
