map,n_procs,mintime,maxtime,jacobimin,jacobimax,mlups
core,1,15.32974028,15.32974028,15.066675,15.066675,112.7220663
core,4,15.36620347,15.36620269,15.06891647,15.08825987,449.8183311
core,8,15.43589814,15.43589599,15.06890667,15.14856609,895.5747098
core,12,15.50249085,15.50248853,15.14751501,15.19997052,1337.591501
socket,4,15.39194316,15.39194247,15.05736607,15.1185915,449.0661074
socket,8,15.40335359,15.40334658,15.06232717,15.12262323,897.4669003
socket,12,15.44302734,15.44302433,15.06349384,15.15642454,1342.741909
node,12,15.40474288,15.40473742,15.05240979,15.12214844,1346.078942
node,24,15.48295034,15.48294509,15.05351201,15.18497553,2678.55926
node,36,15.43967115,15.43966175,15.04554975,15.13867777,4029.101359
node,48,15.72261568,15.72260107,15.12319106,15.42149091,5275.458084
